NAMESPACE           LAST SEEN   TYPE      REASON               OBJECT                                                            MESSAGE
monitoring          7m10s       Normal    Scheduled            pod/kps-prometheus-node-exporter-jnq7f                            Successfully assigned monitoring/kps-prometheus-node-exporter-jnq7f to ip-10-0-2-180.ec2.internal
monitoring          7m10s       Normal    ScalingReplicaSet    deployment/kps-kube-state-metrics                                 Scaled up replica set kps-kube-state-metrics-5bf8d94859 to 1
monitoring          7m10s       Normal    ScalingReplicaSet    deployment/kps-kube-prometheus-stack-operator                     Scaled up replica set kps-kube-prometheus-stack-operator-6465cc476f to 1
monitoring          7m9s        Normal    Pulling              pod/kps-kube-prometheus-stack-operator-6465cc476f-qhmfz           Pulling image "quay.io/prometheus-operator/prometheus-operator:v0.89.0"
monitoring          7m9s        Normal    Pulling              pod/kps-prometheus-node-exporter-jnq7f                            Pulling image "quay.io/prometheus/node-exporter:v1.10.2"
monitoring          7m9s        Normal    Pulling              pod/kps-kube-state-metrics-5bf8d94859-mlvf6                       Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.18.0"
monitoring          7m9s        Normal    Scheduled            pod/kps-kube-state-metrics-5bf8d94859-mlvf6                       Successfully assigned monitoring/kps-kube-state-metrics-5bf8d94859-mlvf6 to ip-10-0-1-224.ec2.internal
monitoring          7m9s        Normal    Scheduled            pod/kps-grafana-9f56f7576-kc8z8                                   Successfully assigned monitoring/kps-grafana-9f56f7576-kc8z8 to ip-10-0-1-224.ec2.internal
monitoring          7m10s       Normal    SuccessfulCreate     replicaset/kps-kube-prometheus-stack-operator-6465cc476f          Created pod: kps-kube-prometheus-stack-operator-6465cc476f-qhmfz
monitoring          7m9s        Normal    Pulling              pod/kps-prometheus-node-exporter-q2wjn                            Pulling image "quay.io/prometheus/node-exporter:v1.10.2"
monitoring          7m10s       Normal    SuccessfulCreate     replicaset/kps-grafana-9f56f7576                                  Created pod: kps-grafana-9f56f7576-kc8z8
monitoring          7m9s        Normal    Scheduled            pod/kps-kube-prometheus-stack-operator-6465cc476f-qhmfz           Successfully assigned monitoring/kps-kube-prometheus-stack-operator-6465cc476f-qhmfz to ip-10-0-2-180.ec2.internal
monitoring          7m9s        Normal    Pulling              pod/kps-grafana-9f56f7576-kc8z8                                   Pulling image "quay.io/kiwigrid/k8s-sidecar:2.5.0"
monitoring          7m8s        Normal    Pulled               pod/kps-prometheus-node-exporter-jnq7f                            Successfully pulled image "quay.io/prometheus/node-exporter:v1.10.2" in 1.152s (1.152s including waiting)
monitoring          7m8s        Normal    Created              pod/kps-prometheus-node-exporter-jnq7f                            Created container: node-exporter
monitoring          7m8s        Normal    Started              pod/kps-prometheus-node-exporter-jnq7f                            Started container node-exporter
monitoring          7m8s        Normal    Pulled               pod/kps-prometheus-node-exporter-q2wjn                            Successfully pulled image "quay.io/prometheus/node-exporter:v1.10.2" in 1.091s (1.091s including waiting)
monitoring          7m8s        Normal    Created              pod/kps-prometheus-node-exporter-q2wjn                            Created container: node-exporter
monitoring          7m8s        Normal    Started              pod/kps-prometheus-node-exporter-q2wjn                            Started container node-exporter
monitoring          7m7s        Normal    Pulled               pod/kps-kube-prometheus-stack-operator-6465cc476f-qhmfz           Successfully pulled image "quay.io/prometheus-operator/prometheus-operator:v0.89.0" in 1.514s (1.514s including waiting)
monitoring          7m7s        Normal    Created              pod/kps-kube-prometheus-stack-operator-6465cc476f-qhmfz           Created container: kube-prometheus-stack
monitoring          7m7s        Normal    Started              pod/kps-kube-prometheus-stack-operator-6465cc476f-qhmfz           Started container kube-prometheus-stack
monitoring          7m6s        Normal    Scheduled            pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Successfully assigned monitoring/alertmanager-kps-kube-prometheus-stack-alertmanager-0 to ip-10-0-2-180.ec2.internal
monitoring          7m6s        Normal    Pulled               pod/kps-grafana-9f56f7576-kc8z8                                   Container image "quay.io/kiwigrid/k8s-sidecar:2.5.0" already present on machine
monitoring          7m6s        Normal    SuccessfulCreate     statefulset/prometheus-kps-kube-prometheus-stack-prometheus       create Pod prometheus-kps-kube-prometheus-stack-prometheus-0 in StatefulSet prometheus-kps-kube-prometheus-stack-prometheus successful
monitoring          7m6s        Normal    Pulling              pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0"
monitoring          7m6s        Normal    Scheduled            pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Successfully assigned monitoring/prometheus-kps-kube-prometheus-stack-prometheus-0 to ip-10-0-2-180.ec2.internal
monitoring          7m6s        Normal    Pulling              pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0"
monitoring          7m7s        Normal    SuccessfulCreate     statefulset/alertmanager-kps-kube-prometheus-stack-alertmanager   create Pod alertmanager-kps-kube-prometheus-stack-alertmanager-0 in StatefulSet alertmanager-kps-kube-prometheus-stack-alertmanager successful
monitoring          7m6s        Normal    Pulled               pod/kps-grafana-9f56f7576-kc8z8                                   Successfully pulled image "quay.io/kiwigrid/k8s-sidecar:2.5.0" in 3.132s (3.132s including waiting)
monitoring          7m6s        Normal    Started              pod/kps-kube-state-metrics-5bf8d94859-mlvf6                       Started container kube-state-metrics
monitoring          7m6s        Normal    Created              pod/kps-kube-state-metrics-5bf8d94859-mlvf6                       Created container: kube-state-metrics
monitoring          7m6s        Normal    Pulled               pod/kps-kube-state-metrics-5bf8d94859-mlvf6                       Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.18.0" in 2.23s (2.23s including waiting)
monitoring          7m6s        Normal    Created              pod/kps-grafana-9f56f7576-kc8z8                                   Created container: grafana-sc-dashboard
monitoring          7m6s        Normal    Started              pod/kps-grafana-9f56f7576-kc8z8                                   Started container grafana-sc-dashboard
monitoring          7m6s        Normal    Created              pod/kps-grafana-9f56f7576-kc8z8                                   Created container: grafana-sc-datasources
monitoring          7m5s        Normal    Started              pod/kps-grafana-9f56f7576-kc8z8                                   Started container grafana-sc-datasources
monitoring          7m5s        Normal    Started              pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Started container init-config-reloader
monitoring          7m5s        Normal    Pulling              pod/kps-grafana-9f56f7576-kc8z8                                   Pulling image "docker.io/grafana/grafana:12.4.0"
monitoring          7m5s        Normal    Started              pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Started container init-config-reloader
